Age,Family_Income,Study_Hours_per_Day,Attendance_Rate,Assignment_Delay_Days,Travel_Time_Minutes,Stress_Index,GPA,Semester,Dropout,is_female,has_internet_access,has_part_time_job,has_scholarship,Department_Business,Department_CS,Department_Engineering,Department_Science,Parental_Education_High School,Parental_Education_Master,Parental_Education_PhD,Parental_Education_Unknown,study_efficiency,risk_score
18.6,25000.0,6.55,100.0,0,15.5,5.8,3.17,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0.44964539007092197,-4.2
18.4,25000.0,4.7,82.1,1,20.9,6.6,1.52,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0.2923076923076923,-0.6099999999999994
22.8,32151.0,4.76,85.6,1,13.9,6.6,1.55,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.2946768060836502,-0.9599999999999991
24.0,31286.0,3.03,74.1,2,35.1,4.5,3.64,3,0,0,1,0,1,0,1,0,0,0,0,0,0,1.0311614730878187,-0.9099999999999993
20.8,37293.0,2.76,87.8,0,31.5,5.2,3.64,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1.1165644171779143,-3.579999999999999
23.2,38801.0,2.72,93.0,2,10.8,6.8,4.0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,1.2422360248447204,-0.5
21.8,36430.0,3.61,80.8,1,22.2,4.5,1.9,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.4622871046228711,-2.58
19.6,33396.0,4.08,86.9,4,33.7,3.9,2.82,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0.6157205240174672,-0.7900000000000009
21.8,30744.0,4.28,86.6,3,31.4,4.3,2.02,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0.4225941422594142,-1.3600000000000003
24.4,44305.0,2.94,82.6,1,44.5,4.4,3.87,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1.125,-2.8599999999999994
20.9,25000.0,1.09,92.3,1,16.2,5.6,2.5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1.572327044025157,-2.630000000000001
24.4,75102.0,3.45,75.6,2,29.9,5.5,4.0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1.0126582278481011,-0.05999999999999961
17.0,25000.0,5.22,75.0,1,18.0,5.2,4.0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0.6993006993006994,-1.2999999999999998
22.8,25000.0,3.51,82.0,2,31.3,4.1,2.35,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0.5860349127182045,-2.0999999999999996
21.2,29740.5,4.0,79.0,2,27.8,5.5,3.72,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0.8266666666666667,-0.40000000000000036
20.3,44514.0,1.93,58.7,3,33.3,6.7,1.88,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0.7736625514403292,3.829999999999999
21.2,25000.0,4.16,76.1,2,25.1,6.1,0.7,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0.1502145922746781,0.4900000000000002
17.0,29235.0,4.53,65.0,0,39.1,4.7,1.57,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0.3121272365805169,-1.7999999999999998
20.5,29740.5,4.0,79.4,2,21.4,5.5,2.06,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.4577777777777778,-0.4400000000000004
21.8,53998.0,5.25,87.7,1,17.8,7.7,0.87,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.15130434782608695,-0.07000000000000028
24.3,25000.0,5.56,82.4,2,32.7,5.4,0.83,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0.13696369636963696,-0.8399999999999999
19.9,25000.0,6.75,83.1,0,52.2,5.5,1.96,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0.27034482758620687,-2.8099999999999987
19.2,25000.0,2.8,80.8,2,11.7,8.2,3.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9090909090909092,2.119999999999999
19.9,25000.0,4.37,83.7,0,16.3,7.4,3.03,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0.62217659137577,-0.9700000000000006
23.0,25000.0,2.46,100.0,1,32.8,4.3,3.12,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1.0540540540540542,-4.7
21.7,25000.0,4.79,79.2,3,43.5,7.4,1.22,3,1,1,1,1,0,0,1,0,0,0,1,0,0,0.23062381852551983,2.4800000000000004
19.8,29740.5,4.0,81.9,0,33.7,5.5,2.96,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0.6577777777777778,-2.6900000000000013
22.1,32176.0,1.49,75.1,1,22.7,3.6,2.96,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1.4874371859296482,-2.91
21.2,39933.0,4.35,66.8,1,35.0,7.8,2.37,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0.48865979381443303,2.120000000000001
23.1,33807.0,3.74,84.1,0,36.2,4.2,0.75,3,1,0,0,1,0,1,0,0,0,1,0,0,0,0.17688679245283018,-4.21
19.5,29740.5,4.0,91.1,3,21.8,5.5,3.54,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.7866666666666666,-0.6099999999999994
20.3,50359.0,3.62,100.0,0,39.9,4.8,3.28,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0.7961165048543689,-5.2
20.1,25000.0,6.68,80.5,3,29.6,9.2,0.32,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.04456824512534819,4.149999999999999
17.8,25000.0,4.75,79.9,0,9.0,3.8,0.31,3,1,1,1,0,0,0,1,0,0,0,1,0,0,0.05904761904761905,-4.19
21.7,29740.5,4.0,74.5,0,28.4,5.5,1.52,3,0,1,1,1,0,0,1,0,0,0,0,0,0,0.3377777777777778,-1.9500000000000002
21.6,29331.0,3.57,95.7,4,23.2,4.9,2.78,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0.6830466830466829,-0.6699999999999999
21.0,25000.0,1.48,72.1,2,45.7,6.4,1.86,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0.9393939393939394,1.1900000000000013
20.5,51391.0,2.6,87.3,0,14.1,5.4,1.29,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0.4161290322580645,-3.33
17.9,97535.0,6.19,96.6,1,24.2,4.3,4.0,2,1,0,1,0,1,1,0,0,0,0,1,0,0,0.5979073243647234,-4.36
20.1,29740.5,4.0,80.0,2,33.1,5.5,2.3,2,0,0,1,1,1,0,0,0,1,1,0,0,0,0.5111111111111111,-0.5
20.2,31276.0,4.59,72.7,1,59.0,7.9,2.1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0.412573673870334,1.63
19.2,49497.0,4.51,88.3,2,53.5,2.6,3.2,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0.6387225548902197,-4.23
20.6,25000.0,5.84,71.2,2,29.5,4.3,1.92,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0.3028391167192429,-0.8200000000000003
21.9,30245.0,4.42,91.5,0,34.2,6.4,1.36,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.2764227642276423,-2.75
25.1,29740.5,4.0,97.9,4,37.2,5.5,3.55,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0.7888888888888889,-0.2900000000000009
21.4,29740.5,4.0,63.0,3,17.9,5.5,1.82,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0.40444444444444444,2.2
21.6,29740.5,4.0,95.3,1,30.1,5.5,1.35,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.30000000000000004,-3.0299999999999994
20.8,26596.0,3.64,87.1,2,46.3,6.6,1.59,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0.38405797101449274,-0.10999999999999943
17.0,28669.0,6.21,93.1,0,31.7,6.4,3.82,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.5692995529061102,-2.9099999999999984
20.9,25000.0,2.63,76.8,1,53.4,6.8,0.96,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.30670926517571884,0.1200000000000001
21.1,104579.0,3.34,87.0,2,24.7,6.1,2.47,2,0,1,1,1,0,0,0,0,1,0,1,0,0,0.6432291666666667,-0.5999999999999996
26.4,25000.0,1.63,83.9,2,28.9,4.9,1.34,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0.6291079812206574,-1.4900000000000002
20.6,25000.0,5.31,75.7,1,29.0,7.2,1.81,3,0,0,1,1,0,1,0,0,0,1,0,0,0,0.3115318416523236,0.629999999999999
21.7,28108.0,4.45,79.2,3,14.4,4.6,3.06,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.6181818181818182,-0.3200000000000003
20.9,51263.0,6.26,86.6,0,43.3,5.2,2.45,3,0,1,1,0,1,0,1,0,0,1,0,0,0,0.3624260355029586,-3.46
18.4,30045.0,3.17,73.0,2,26.0,2.5,3.4,3,0,1,0,1,0,0,0,0,1,0,1,0,0,0.9264305177111717,-2.8
23.5,39789.0,2.97,72.4,2,33.1,4.6,2.9,2,0,0,1,1,1,0,0,0,1,0,0,0,0,0.8357348703170028,-0.6400000000000006
22.7,29740.5,4.0,56.8,0,22.8,5.5,0.5,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0.1111111111111111,-0.17999999999999972
22.7,72592.0,4.59,75.8,3,50.7,5.5,2.31,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.4538310412573674,0.9199999999999999
19.0,41649.0,3.54,84.3,4,44.8,7.2,2.54,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0.6287128712871287,2.7699999999999996
24.1,55749.0,4.39,77.9,0,30.7,4.7,0.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,-3.0900000000000007
17.9,37016.0,3.45,92.2,1,15.3,4.8,1.42,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.3594936708860759,-3.420000000000001
22.3,48773.0,5.87,70.4,2,38.9,4.5,1.96,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0.30769230769230765,-0.5400000000000009
25.8,25000.0,5.64,86.1,3,43.0,5.9,3.4,3,0,1,1,1,0,0,0,0,1,0,1,0,0,0.5537459283387622,0.2900000000000009
18.8,25000.0,4.11,79.1,1,18.9,8.3,2.14,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0.46420824295010843,1.3900000000000015
19.8,66695.0,5.37,81.2,0,28.3,1.3,3.86,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.6575809199318569,-6.820000000000001
21.2,75799.0,3.83,87.5,1,30.9,4.6,1.93,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0.4457274826789838,-3.1500000000000004
19.9,25000.0,3.94,60.9,2,43.0,4.9,1.89,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0.4256756756756757,0.8100000000000005
17.6,34539.0,1.19,64.9,1,28.2,1.7,1.94,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1.1479289940828403,-3.79
21.2,25000.0,4.66,81.5,2,41.5,5.3,1.7,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0.32945736434108525,-0.8500000000000005
18.7,25000.0,4.03,80.2,2,20.7,4.9,2.3,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0.5077262693156732,-1.1199999999999992
22.0,35274.0,5.14,70.6,3,17.3,4.7,2.45,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.4343971631205674,0.6400000000000006
19.0,58958.0,4.93,98.0,1,52.0,3.5,2.8,3,0,1,1,0,0,0,0,0,1,0,1,0,0,0.5156537753222836,-5.300000000000001
24.4,38988.0,3.03,72.7,1,14.3,5.3,1.89,2,0,0,1,1,1,0,0,1,0,0,1,0,0,0.5354107648725213,-0.9700000000000006
19.3,25000.0,3.75,77.7,2,21.0,3.4,2.18,2,0,1,1,1,0,0,1,0,0,0,0,1,0,0.5129411764705882,-2.37
20.3,40494.0,3.38,91.2,2,39.4,4.0,1.9,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0.4896907216494845,-3.120000000000001
22.8,25000.0,5.36,76.6,3,23.6,5.1,3.36,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5733788395904437,0.4400000000000004
18.3,38073.0,6.05,75.1,1,23.3,7.3,1.17,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0.17862595419847327,0.7900000000000009
21.5,68726.0,5.04,85.1,1,27.6,6.2,0.72,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0.1299638989169675,-1.3099999999999996
23.9,25000.0,6.58,76.1,1,5.0,6.6,3.6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.5084745762711864,-0.009999999999999787
17.5,47971.0,4.68,85.2,2,43.4,9.0,3.09,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.5965250965250966,2.4800000000000004
21.4,25000.0,2.73,86.1,1,32.1,6.3,2.39,2,0,1,1,0,1,1,0,0,0,1,0,0,0,0.739938080495356,-1.3099999999999996
21.6,62131.0,2.2,85.0,4,20.3,3.6,0.9,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0.3333333333333333,-0.9000000000000004
22.7,25000.0,2.8,91.4,3,9.4,4.5,2.11,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0.6393939393939394,-1.6400000000000006
18.3,25000.0,3.41,78.9,1,13.6,4.0,1.81,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0.4629156010230179,-2.8900000000000006
18.1,45124.0,3.12,78.0,0,10.9,5.3,2.68,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0.7403314917127072,-2.5
22.1,36994.0,4.07,81.3,3,32.7,4.8,2.89,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0.6323851203501094,-0.3299999999999992
21.7,25000.0,3.77,59.4,5,32.8,3.8,3.15,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.7377049180327869,2.860000000000001
21.6,25000.0,4.1,83.7,0,37.3,7.2,2.21,3,0,0,1,1,1,0,1,0,0,1,0,0,0,0.48043478260869565,-1.1700000000000008
21.8,26569.0,7.17,79.4,2,38.8,7.3,0.92,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0.11994784876140809,1.3600000000000003
19.5,25000.0,5.14,85.1,1,37.5,5.8,3.84,3,0,0,1,1,1,0,0,1,0,0,1,0,0,0.6808510638297872,-1.71
21.5,25000.0,4.35,74.8,1,48.5,3.7,3.68,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.7587628865979382,-2.7799999999999994
21.6,31868.0,5.38,92.8,4,44.3,5.7,4.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.6802721088435374,0.41999999999999993
19.4,25000.0,2.95,80.3,2,41.5,4.4,3.72,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1.0782608695652174,-1.629999999999999
25.1,38404.0,2.9,88.7,1,32.8,7.8,0.63,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0.18529411764705883,-0.07000000000000028
22.0,72699.0,5.19,77.9,2,38.6,3.3,3.6,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.632688927943761,-2.490000000000001
18.4,27197.0,4.0,85.7,2,25.1,6.7,2.34,2,0,1,1,0,0,0,0,1,0,0,0,0,1,0.52,0.129999999999999
22.4,32148.0,4.16,69.6,0,27.3,6.6,1.7,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0.3648068669527897,-0.35999999999999943
18.9,99793.0,2.51,64.4,4,50.7,7.1,2.51,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0.8338870431893688,4.659999999999999
22.7,25000.0,3.38,80.3,1,23.3,5.9,2.79,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0.7190721649484536,-1.129999999999999
23.5,60763.0,3.47,81.8,1,22.4,4.9,1.29,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0.3249370277078086,-2.2799999999999994
19.2,56529.0,3.37,81.2,1,25.7,9.8,1.17,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0.3023255813953488,2.6799999999999997
23.1,49642.0,6.79,79.7,3,23.4,3.9,2.11,2,0,0,1,1,0,0,0,0,1,0,1,0,0,0.289437585733882,-1.0700000000000003
21.9,64541.0,6.76,78.8,2,24.4,6.8,2.74,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0.37741046831955927,0.9200000000000008
22.8,35184.0,5.48,87.4,1,32.9,5.5,2.56,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0.4280936454849498,-2.24
25.2,25000.0,4.13,96.3,0,33.3,6.1,2.24,2,1,1,1,0,0,0,0,1,0,0,0,0,1,0.48380129589632836,-3.5299999999999994
20.5,57339.0,3.24,100.0,2,40.9,6.1,4.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1.06951871657754,-1.9000000000000004
19.3,58671.0,2.65,90.8,1,56.3,3.6,4.0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1.2698412698412698,-4.48
19.0,57710.0,4.44,63.7,0,25.6,3.1,0.91,2,0,0,1,1,1,0,0,0,1,0,0,0,0,0.18421052631578946,-3.27
19.2,30537.0,5.66,90.4,0,29.2,3.2,4.0,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0.6493506493506493,-5.840000000000001
20.8,25000.0,5.01,90.3,3,7.9,4.7,4.0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0.7259528130671506,-1.3299999999999992
21.8,33350.0,4.13,81.2,1,14.5,5.9,1.01,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0.21814254859611232,-1.2200000000000006
21.6,52331.0,4.87,89.4,2,28.2,4.3,3.97,2,0,0,1,0,1,0,0,1,0,1,0,0,0,0.7392923649906891,-2.6400000000000015
22.8,54974.0,3.98,84.9,1,35.6,2.9,2.24,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,-4.59
21.0,25000.0,3.64,81.9,0,35.9,7.2,2.22,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.536231884057971,-0.9900000000000011
24.2,35926.0,2.68,84.0,4,37.4,2.7,1.21,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0.380503144654088,-1.7000000000000002
