Age,Family_Income,Study_Hours_per_Day,Attendance_Rate,Assignment_Delay_Days,Travel_Time_Minutes,Stress_Index,GPA,Semester,Dropout,is_female,has_internet_access,has_part_time_job,has_scholarship,Department_Business,Department_CS,Department_Engineering,Department_Science,Parental_Education_High School,Parental_Education_Master,Parental_Education_PhD,Parental_Education_Unknown
21.8,66367.0,3.07,82.3,4,11.3,5.3,1.01,2,0,1,1,0,0,0,1,0,0,1,0,0,0
19.7,25000.0,4.19,79.7,1,36.5,9.3,1.15,2,0,0,1,1,0,1,0,0,0,1,0,0,0
20.4,29740.5,4.0,72.7,3,28.5,5.5,2.78,0,0,1,0,0,0,0,1,0,0,1,0,0,0
19.7,25000.0,6.08,81.1,7,5.0,5.9,3.96,3,0,1,1,1,0,0,1,0,0,0,0,0,0
25.1,29740.5,4.0,77.9,3,10.9,5.5,2.56,2,1,0,1,0,1,0,0,0,1,0,0,0,0
21.0,34785.0,6.6,81.9,2,24.3,3.6,3.62,3,0,0,1,0,0,0,0,0,0,0,0,1,0
18.7,29740.5,4.0,67.9,1,45.3,5.5,1.64,2,0,0,1,1,1,0,0,0,0,0,0,0,0
22.8,25000.0,2.19,95.9,2,37.3,5.2,0.76,2,0,1,1,1,1,0,0,0,1,0,0,0,0
18.3,29740.5,4.0,61.0,1,21.8,5.5,0.81,2,1,1,1,0,1,0,0,0,0,0,0,0,0
21.5,26034.0,2.9,80.9,1,27.7,7.6,1.61,3,0,0,0,0,1,1,0,0,0,0,0,0,0
17.0,25000.0,6.16,78.5,0,43.3,4.7,3.66,1,0,1,1,0,0,0,0,0,1,1,0,0,0
18.1,77705.0,2.25,70.8,1,22.6,5.0,2.16,1,0,0,1,0,0,1,0,0,0,0,0,0,1
21.4,29740.5,4.0,85.0,3,17.0,5.5,3.1,1,0,1,1,1,0,1,0,0,0,0,1,0,0
22.6,25000.0,5.91,74.5,2,40.6,5.6,2.29,1,0,0,0,0,0,0,0,1,0,0,0,0,0
21.4,41216.0,7.6,85.0,1,43.4,4.4,1.62,0,0,0,1,1,1,1,0,0,0,1,0,0,0
20.7,49772.0,3.86,95.6,6,22.7,6.7,2.34,0,0,0,1,0,1,1,0,0,0,0,0,0,0
20.3,41183.0,4.15,72.1,2,35.9,8.4,2.32,2,1,0,1,1,1,1,0,0,0,1,0,0,0
17.7,25000.0,2.48,89.0,1,29.5,7.4,0.63,3,0,1,1,0,1,0,0,1,0,0,1,0,0
19.4,25682.0,3.51,69.7,2,22.9,7.9,1.58,0,0,1,1,0,0,1,0,0,0,0,1,0,0
20.0,25000.0,6.84,75.6,1,44.0,5.2,3.36,3,0,0,1,1,0,1,0,0,0,0,0,0,0
23.3,25000.0,5.13,86.5,1,22.0,3.6,4.0,3,0,0,1,1,0,0,1,0,0,0,0,0,0
21.8,25000.0,5.58,79.8,2,39.1,1.9,4.0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
17.1,27754.0,4.84,93.6,3,30.8,1.8,2.8,0,0,1,1,0,0,0,0,1,0,1,0,0,0
21.7,25000.0,5.39,83.0,1,27.9,5.1,4.0,3,0,1,1,1,0,0,1,0,0,0,0,0,0
20.2,26368.0,6.52,86.2,1,23.3,6.4,2.89,2,0,0,1,0,0,1,0,0,0,0,0,0,0
19.5,25000.0,3.41,76.5,2,18.2,7.0,2.28,2,0,1,1,1,0,1,0,0,0,1,0,0,0
22.3,33661.0,4.96,73.7,4,27.0,5.9,2.16,3,1,0,1,0,0,1,0,0,0,0,1,0,0
23.3,25000.0,3.1,72.8,0,23.9,4.2,0.35,0,1,1,1,0,1,1,0,0,0,0,0,0,0
23.0,35396.0,1.35,74.5,0,31.1,6.7,0.68,0,1,1,1,1,1,0,0,0,1,1,0,0,0
19.2,56894.0,4.34,76.4,1,15.6,3.3,2.64,3,0,1,1,0,0,0,0,0,1,0,0,0,0
20.3,77162.0,4.16,91.3,3,28.2,3.5,2.09,3,0,1,1,0,1,0,0,1,0,0,0,0,0
21.7,25000.0,3.9,85.2,5,34.9,6.6,0.26,1,1,1,1,0,0,1,0,0,0,0,1,0,0
23.1,25000.0,3.17,71.8,2,21.9,3.3,0.73,0,0,1,1,0,0,0,0,0,1,1,0,0,0
19.9,25000.0,4.18,78.7,2,38.9,4.1,3.73,2,0,1,1,1,0,0,0,0,0,1,0,0,0
20.6,39191.0,4.55,81.8,3,40.2,3.7,2.03,1,0,0,1,1,1,0,0,0,1,0,0,1,0
18.6,25000.0,6.55,100.0,0,15.5,5.8,3.17,0,0,0,1,1,1,0,0,1,0,0,0,0,0
18.4,25000.0,4.7,82.1,1,20.9,6.6,1.52,2,0,0,1,0,0,0,0,1,0,0,0,1,0
22.8,32151.0,4.76,85.6,1,13.9,6.6,1.55,1,0,1,0,0,0,0,0,0,0,1,0,0,0
24.0,31286.0,3.03,74.1,2,35.1,4.5,3.64,3,0,0,1,0,1,0,1,0,0,0,0,0,0
20.8,37293.0,2.76,87.8,0,31.5,5.2,3.64,3,0,0,1,0,0,0,0,0,1,0,0,0,0
23.2,38801.0,2.72,93.0,2,10.8,6.8,4.0,2,0,0,1,1,0,0,0,0,0,1,0,0,0
21.8,36430.0,3.61,80.8,1,22.2,4.5,1.9,0,0,0,1,0,0,0,0,1,0,0,1,0,0
19.6,33396.0,4.08,86.9,4,33.7,3.9,2.82,0,0,1,1,0,0,0,0,1,0,0,0,1,0
21.8,30744.0,4.28,86.6,3,31.4,4.3,2.02,3,0,1,1,0,1,1,0,0,0,0,0,0,0
24.4,44305.0,2.94,82.6,1,44.5,4.4,3.87,2,0,1,1,0,0,0,1,0,0,0,0,0,0
20.9,25000.0,1.09,92.3,1,16.2,5.6,2.5,0,0,1,1,1,0,0,0,0,0,0,0,0,0
24.4,75102.0,3.45,75.6,2,29.9,5.5,4.0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
17.0,25000.0,5.22,75.0,1,18.0,5.2,4.0,3,0,0,0,0,0,0,1,0,0,0,1,0,0
22.8,25000.0,3.51,82.0,2,31.3,4.1,2.35,1,0,0,1,1,0,0,0,0,1,0,0,0,0
21.2,29740.5,4.0,79.0,2,27.8,5.5,3.72,2,0,1,1,0,0,0,0,0,1,0,0,0,0
20.3,44514.0,1.93,58.7,3,33.3,6.7,1.88,0,1,0,1,1,0,0,0,0,1,0,0,0,1
21.2,25000.0,4.16,76.1,2,25.1,6.1,0.7,3,0,0,1,0,0,0,0,1,0,1,0,0,0
17.0,29235.0,4.53,65.0,0,39.1,4.7,1.57,0,0,1,1,0,1,0,1,0,0,1,0,0,0
20.5,29740.5,4.0,79.4,2,21.4,5.5,2.06,0,0,0,0,0,0,0,1,0,0,0,1,0,0
21.8,53998.0,5.25,87.7,1,17.8,7.7,0.87,0,0,0,1,0,0,0,1,0,0,0,1,0,0
24.3,25000.0,5.56,82.4,2,32.7,5.4,0.83,2,0,0,1,0,1,0,0,1,0,0,0,0,0
19.9,25000.0,6.75,83.1,0,52.2,5.5,1.96,3,0,0,1,0,0,0,0,0,1,0,1,0,0
19.2,25000.0,2.8,80.8,2,11.7,8.2,3.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
19.9,25000.0,4.37,83.7,0,16.3,7.4,3.03,1,0,0,1,0,0,0,0,1,0,0,1,0,0
23.0,25000.0,2.46,100.0,1,32.8,4.3,3.12,2,0,1,1,0,1,0,0,0,0,0,1,0,0
21.7,25000.0,4.79,79.2,3,43.5,7.4,1.22,3,1,1,1,1,0,0,1,0,0,0,1,0,0
19.8,29740.5,4.0,81.9,0,33.7,5.5,2.96,2,1,0,1,0,0,0,0,0,0,1,0,0,0
22.1,32176.0,1.49,75.1,1,22.7,3.6,2.96,0,0,1,1,0,0,0,0,0,1,0,0,0,0
21.2,39933.0,4.35,66.8,1,35.0,7.8,2.37,2,0,0,1,0,0,0,0,0,0,1,0,0,0
23.1,33807.0,3.74,84.1,0,36.2,4.2,0.75,3,1,0,0,1,0,1,0,0,0,1,0,0,0
19.5,29740.5,4.0,91.1,3,21.8,5.5,3.54,0,0,0,0,0,0,0,1,0,0,1,0,0,0
20.3,50359.0,3.62,100.0,0,39.9,4.8,3.28,2,0,1,1,0,0,1,0,0,0,1,0,0,0
20.1,25000.0,6.68,80.5,3,29.6,9.2,0.32,0,0,0,1,0,1,0,0,0,0,1,0,0,0
17.8,25000.0,4.75,79.9,0,9.0,3.8,0.31,3,1,1,1,0,0,0,1,0,0,0,1,0,0
21.7,29740.5,4.0,74.5,0,28.4,5.5,1.52,3,0,1,1,1,0,0,1,0,0,0,0,0,0
21.6,29331.0,3.57,95.7,4,23.2,4.9,2.78,1,0,1,0,0,0,1,0,0,0,0,0,1,0
21.0,25000.0,1.48,72.1,2,45.7,6.4,1.86,0,0,1,1,0,1,0,0,1,0,0,0,1,0
20.5,51391.0,2.6,87.3,0,14.1,5.4,1.29,1,0,1,1,1,1,0,1,0,0,1,0,0,0
17.9,97535.0,6.19,96.6,1,24.2,4.3,4.0,2,1,0,1,0,1,1,0,0,0,0,1,0,0
20.1,29740.5,4.0,80.0,2,33.1,5.5,2.3,2,0,0,1,1,1,0,0,0,1,1,0,0,0
20.2,31276.0,4.59,72.7,1,59.0,7.9,2.1,0,0,1,1,1,0,0,0,1,0,0,0,0,0
19.2,49497.0,4.51,88.3,2,53.5,2.6,3.2,3,0,1,1,0,1,1,0,0,0,0,0,0,0
20.6,25000.0,5.84,71.2,2,29.5,4.3,1.92,3,0,0,1,0,0,0,0,0,1,0,0,0,0
21.9,30245.0,4.42,91.5,0,34.2,6.4,1.36,0,0,0,1,1,0,0,0,0,0,0,0,0,1
25.1,29740.5,4.0,97.9,4,37.2,5.5,3.55,0,1,0,1,1,1,0,0,1,0,0,1,0,0
21.4,29740.5,4.0,63.0,3,17.9,5.5,1.82,1,1,0,1,1,0,0,0,1,0,1,0,0,0
21.6,29740.5,4.0,95.3,1,30.1,5.5,1.35,1,0,0,0,0,0,0,0,0,1,0,0,0,0
20.8,26596.0,3.64,87.1,2,46.3,6.6,1.59,1,0,1,1,0,0,1,0,0,0,0,0,0,0
17.0,28669.0,6.21,93.1,0,31.7,6.4,3.82,0,0,1,0,0,1,1,0,0,0,0,0,0,0
20.9,25000.0,2.63,76.8,1,53.4,6.8,0.96,0,1,0,0,1,0,1,0,0,0,0,0,0,0
21.1,104579.0,3.34,87.0,2,24.7,6.1,2.47,2,0,1,1,1,0,0,0,0,1,0,1,0,0
26.4,25000.0,1.63,83.9,2,28.9,4.9,1.34,1,1,1,1,0,0,0,0,0,0,1,0,0,0
20.6,25000.0,5.31,75.7,1,29.0,7.2,1.81,3,0,0,1,1,0,1,0,0,0,1,0,0,0
21.7,28108.0,4.45,79.2,3,14.4,4.6,3.06,0,0,0,1,0,1,1,0,0,0,0,0,0,0
20.9,51263.0,6.26,86.6,0,43.3,5.2,2.45,3,0,1,1,0,1,0,1,0,0,1,0,0,0
18.4,30045.0,3.17,73.0,2,26.0,2.5,3.4,3,0,1,0,1,0,0,0,0,1,0,1,0,0
23.5,39789.0,2.97,72.4,2,33.1,4.6,2.9,2,0,0,1,1,1,0,0,0,1,0,0,0,0
22.7,29740.5,4.0,56.8,0,22.8,5.5,0.5,0,0,1,1,1,1,0,0,1,0,0,1,0,0
22.7,72592.0,4.59,75.8,3,50.7,5.5,2.31,1,1,0,0,0,1,0,0,0,0,0,0,0,0
19.0,41649.0,3.54,84.3,4,44.8,7.2,2.54,1,1,0,1,0,0,0,0,1,0,0,0,0,1
24.1,55749.0,4.39,77.9,0,30.7,4.7,0.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
17.9,37016.0,3.45,92.2,1,15.3,4.8,1.42,0,0,0,1,1,0,0,1,0,0,0,0,0,0
22.3,48773.0,5.87,70.4,2,38.9,4.5,1.96,3,1,1,1,0,0,0,0,0,0,1,0,0,0
25.8,25000.0,5.64,86.1,3,43.0,5.9,3.4,3,0,1,1,1,0,0,0,0,1,0,1,0,0
18.8,25000.0,4.11,79.1,1,18.9,8.3,2.14,1,0,0,1,1,0,0,1,0,0,0,1,0,0
19.8,66695.0,5.37,81.2,0,28.3,1.3,3.86,0,0,1,1,0,0,0,0,0,1,0,0,0,0
21.2,75799.0,3.83,87.5,1,30.9,4.6,1.93,1,0,1,1,0,1,0,0,0,0,1,0,0,0
19.9,25000.0,3.94,60.9,2,43.0,4.9,1.89,2,1,0,1,0,0,0,0,0,0,1,0,0,0
17.6,34539.0,1.19,64.9,1,28.2,1.7,1.94,2,0,1,1,0,0,1,0,0,0,0,0,0,0
21.2,25000.0,4.66,81.5,2,41.5,5.3,1.7,3,0,0,1,0,0,0,1,0,0,0,0,0,0
18.7,25000.0,4.03,80.2,2,20.7,4.9,2.3,0,0,1,1,0,1,0,0,0,0,1,0,0,0
22.0,35274.0,5.14,70.6,3,17.3,4.7,2.45,0,0,0,1,0,0,0,0,1,0,1,0,0,0
19.0,58958.0,4.93,98.0,1,52.0,3.5,2.8,3,0,1,1,0,0,0,0,0,1,0,1,0,0
24.4,38988.0,3.03,72.7,1,14.3,5.3,1.89,2,0,0,1,1,1,0,0,1,0,0,1,0,0
19.3,25000.0,3.75,77.7,2,21.0,3.4,2.18,2,0,1,1,1,0,0,1,0,0,0,0,1,0
20.3,40494.0,3.38,91.2,2,39.4,4.0,1.9,1,0,1,0,0,1,0,1,0,0,0,0,0,0
22.8,25000.0,5.36,76.6,3,23.6,5.1,3.36,2,0,0,1,0,0,0,0,0,0,0,0,0,0
18.3,38073.0,6.05,75.1,1,23.3,7.3,1.17,2,0,0,1,0,0,1,0,0,0,1,0,0,0
21.5,68726.0,5.04,85.1,1,27.6,6.2,0.72,2,1,0,1,1,0,0,1,0,0,0,0,0,0
23.9,25000.0,6.58,76.1,1,5.0,6.6,3.6,0,0,1,0,0,0,0,1,0,0,0,0,0,0
17.5,47971.0,4.68,85.2,2,43.4,9.0,3.09,1,0,0,1,0,0,0,0,0,1,0,0,0,0
21.4,25000.0,2.73,86.1,1,32.1,6.3,2.39,2,0,1,1,0,1,1,0,0,0,1,0,0,0
21.6,62131.0,2.2,85.0,4,20.3,3.6,0.9,3,0,0,1,1,0,0,0,0,0,1,0,0,0
22.7,25000.0,2.8,91.4,3,9.4,4.5,2.11,1,0,0,1,0,1,0,0,1,0,0,1,0,0
18.3,25000.0,3.41,78.9,1,13.6,4.0,1.81,1,0,0,1,0,1,1,0,0,0,1,0,0,0
18.1,45124.0,3.12,78.0,0,10.9,5.3,2.68,1,0,0,1,0,1,0,0,1,0,0,1,0,0
22.1,36994.0,4.07,81.3,3,32.7,4.8,2.89,1,0,1,1,0,0,0,0,0,1,1,0,0,0
21.7,25000.0,3.77,59.4,5,32.8,3.8,3.15,0,0,1,1,0,0,0,1,0,0,0,0,0,0
21.6,25000.0,4.1,83.7,0,37.3,7.2,2.21,3,0,0,1,1,1,0,1,0,0,1,0,0,0
21.8,26569.0,7.17,79.4,2,38.8,7.3,0.92,0,0,1,1,1,1,1,0,0,0,0,0,0,0
19.5,25000.0,5.14,85.1,1,37.5,5.8,3.84,3,0,0,1,1,1,0,0,1,0,0,1,0,0
21.5,25000.0,4.35,74.8,1,48.5,3.7,3.68,1,0,1,1,0,0,0,0,0,0,0,0,0,0
21.6,31868.0,5.38,92.8,4,44.3,5.7,4.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
19.4,25000.0,2.95,80.3,2,41.5,4.4,3.72,0,0,1,0,1,0,1,0,0,0,0,1,0,0
25.1,38404.0,2.9,88.7,1,32.8,7.8,0.63,0,1,1,1,0,0,1,0,0,0,0,0,1,0
22.0,72699.0,5.19,77.9,2,38.6,3.3,3.6,0,0,0,1,0,0,0,0,0,1,0,1,0,0
18.4,27197.0,4.0,85.7,2,25.1,6.7,2.34,2,0,1,1,0,0,0,0,1,0,0,0,0,1
22.4,32148.0,4.16,69.6,0,27.3,6.6,1.7,0,0,0,1,1,1,1,0,0,0,1,0,0,0
18.9,99793.0,2.51,64.4,4,50.7,7.1,2.51,0,0,0,1,0,1,0,0,0,1,1,0,0,0
22.7,25000.0,3.38,80.3,1,23.3,5.9,2.79,2,0,0,1,0,0,1,0,0,0,0,1,0,0
23.5,60763.0,3.47,81.8,1,22.4,4.9,1.29,1,0,0,1,1,0,0,1,0,0,0,0,0,0
19.2,56529.0,3.37,81.2,1,25.7,9.8,1.17,1,1,0,1,0,0,1,0,0,0,0,0,0,0
23.1,49642.0,6.79,79.7,3,23.4,3.9,2.11,2,0,0,1,1,0,0,0,0,1,0,1,0,0
21.9,64541.0,6.76,78.8,2,24.4,6.8,2.74,2,0,0,1,0,0,0,1,0,0,0,0,0,0
22.8,35184.0,5.48,87.4,1,32.9,5.5,2.56,0,0,0,1,1,1,0,0,0,0,1,0,0,0
25.2,25000.0,4.13,96.3,0,33.3,6.1,2.24,2,1,1,1,0,0,0,0,1,0,0,0,0,1
20.5,57339.0,3.24,100.0,2,40.9,6.1,4.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
19.3,58671.0,2.65,90.8,1,56.3,3.6,4.0,2,0,0,1,1,0,0,0,0,0,0,0,0,0
19.0,57710.0,4.44,63.7,0,25.6,3.1,0.91,2,0,0,1,1,1,0,0,0,1,0,0,0,0
19.2,30537.0,5.66,90.4,0,29.2,3.2,4.0,3,0,0,0,1,1,0,0,1,0,0,0,0,0
20.8,25000.0,5.01,90.3,3,7.9,4.7,4.0,1,0,1,1,0,0,0,1,0,0,0,0,0,1
21.8,33350.0,4.13,81.2,1,14.5,5.9,1.01,0,0,1,1,1,1,0,0,1,0,1,0,0,0
21.6,52331.0,4.87,89.4,2,28.2,4.3,3.97,2,0,0,1,0,1,0,0,1,0,1,0,0,0
22.8,54974.0,3.98,84.9,1,35.6,2.9,2.24,0,0,0,0,0,0,0,0,0,1,0,1,0,0
21.0,25000.0,3.64,81.9,0,35.9,7.2,2.22,1,0,0,1,0,0,1,0,0,0,0,0,0,0
24.2,35926.0,2.68,84.0,4,37.4,2.7,1.21,1,0,0,1,0,0,1,0,0,0,1,0,0,0
20.4,25000.0,3.57,77.6,1,45.1,6.4,2.34,3,0,1,1,0,0,1,0,0,0,0,0,0,0
27.0,53689.0,4.39,67.3,2,50.5,4.1,3.47,2,0,1,1,1,0,1,0,0,0,0,0,0,0
22.4,25000.0,3.46,67.0,6,27.1,7.7,0.02,0,1,0,1,0,1,0,0,1,0,0,0,0,0
19.1,47627.0,2.51,89.3,5,20.4,4.6,2.01,2,0,1,1,0,0,0,0,0,1,1,0,0,0
18.6,25000.0,4.15,73.8,1,37.9,2.3,2.55,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22.1,55207.0,4.39,69.8,2,41.2,5.4,3.18,1,0,0,0,0,0,1,0,0,0,1,0,0,0
20.5,36066.0,3.52,69.6,3,31.6,4.0,1.87,1,0,1,1,1,1,0,0,0,1,0,0,0,0
22.6,25000.0,3.97,78.2,0,27.9,7.0,2.61,1,0,1,1,0,1,0,0,1,0,0,1,0,0
22.0,45018.0,0.71,94.1,1,24.0,6.1,1.06,2,0,0,1,0,1,0,0,0,0,0,1,0,0
20.8,25000.0,4.96,80.8,1,29.5,4.4,3.54,1,0,0,1,1,0,0,1,0,0,1,0,0,0
19.1,46618.0,4.37,70.6,2,38.3,3.7,4.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
17.7,25224.0,5.84,93.9,1,22.0,3.5,3.77,3,0,1,0,1,0,0,0,1,0,0,0,0,0
20.0,25000.0,3.72,84.6,1,20.4,4.4,2.45,0,0,0,1,0,0,1,0,0,0,1,0,0,0
22.9,25000.0,4.95,79.2,1,37.2,8.0,1.96,3,0,0,1,0,0,1,0,0,0,1,0,0,0
21.5,25000.0,5.53,85.9,3,19.8,5.2,2.93,0,0,0,0,0,0,0,1,0,0,0,0,1,0
18.3,67570.0,4.03,82.1,0,31.8,7.2,2.08,3,0,1,1,1,1,0,1,0,0,0,1,0,0
21.4,51056.0,4.45,76.3,1,31.2,2.8,2.71,2,0,1,1,1,0,0,0,0,1,1,0,0,0
21.8,78772.0,4.19,77.6,2,30.0,2.0,3.06,0,0,0,1,0,0,0,0,0,0,1,0,0,0
19.1,80192.0,1.92,72.1,4,22.3,3.8,3.19,3,0,1,1,1,1,0,0,0,0,0,0,0,0
21.3,25000.0,4.5,78.2,3,50.8,6.7,0.51,3,1,1,1,1,1,1,0,0,0,1,0,0,0
21.1,26553.0,2.78,89.4,0,34.8,5.0,2.63,2,0,0,0,0,0,0,0,0,0,1,0,0,0
18.5,25000.0,2.88,89.2,0,23.8,7.1,1.1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
21.8,25000.0,4.68,80.6,2,34.0,7.8,1.81,1,0,1,1,0,0,0,0,1,0,0,1,0,0
22.2,25000.0,5.68,80.7,3,52.0,3.8,2.0,0,1,1,1,1,0,0,0,0,1,0,1,0,0
23.4,29471.0,5.02,73.7,1,31.1,7.0,2.12,0,0,1,1,0,0,0,0,0,1,0,0,0,1
23.3,25000.0,4.76,85.2,1,48.4,8.0,3.14,2,0,1,1,1,1,0,0,0,0,0,0,0,0
18.0,29129.0,4.44,70.9,4,16.2,7.4,2.38,0,0,0,0,0,0,0,1,0,0,1,0,0,0
18.9,105817.0,5.13,88.7,5,19.8,2.6,2.2,3,0,0,0,0,0,0,1,0,0,1,0,0,0
22.1,25000.0,6.19,85.3,2,5.0,2.2,4.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
22.1,33418.0,3.25,79.9,2,53.7,4.7,1.84,3,0,0,1,0,0,1,0,0,0,0,1,0,0
22.1,51225.0,3.29,85.5,0,9.6,4.8,1.59,0,0,1,1,1,0,0,0,0,0,1,0,0,0
29.5,35178.0,4.95,79.3,2,32.1,7.0,2.72,2,0,1,1,1,0,1,0,0,0,0,0,0,0
22.3,35436.0,1.78,83.5,1,50.9,3.8,2.86,1,0,1,1,0,0,0,0,1,0,0,1,0,0
23.5,25000.0,3.87,83.7,1,41.7,6.2,1.51,1,0,0,1,0,0,0,0,1,0,0,1,0,0
23.1,25871.0,4.34,91.3,2,34.5,3.6,3.78,3,0,1,1,0,1,0,0,0,0,0,0,0,0
22.4,25000.0,3.29,85.9,2,45.4,6.1,1.57,1,1,1,0,0,0,0,0,0,0,0,0,0,0
20.3,49396.0,1.51,90.4,1,22.0,4.7,1.74,0,1,1,1,1,1,0,0,0,0,1,0,0,0
22.7,25000.0,5.8,85.1,5,36.2,6.1,4.0,3,0,0,1,0,1,0,0,0,1,0,1,0,0
19.3,53245.0,3.22,81.5,0,28.6,4.8,2.1,2,0,0,1,1,1,0,0,0,0,0,0,0,0
20.5,25000.0,3.28,86.1,1,28.4,1.5,3.29,0,0,0,1,1,0,0,0,1,0,0,0,1,0
19.9,52974.0,5.73,84.8,2,32.3,6.4,1.88,0,0,0,1,1,0,0,0,1,0,0,0,0,0
21.2,25000.0,0.5,79.1,0,44.1,7.6,1.87,0,0,0,1,0,0,1,0,0,0,1,0,0,0
26.1,25000.0,5.96,70.7,3,48.8,4.0,2.38,0,0,1,1,1,0,0,0,0,0,0,0,0,0
17.0,42091.0,6.89,77.8,3,26.8,7.0,3.04,2,0,1,0,1,0,0,0,1,0,1,0,0,0
22.5,51910.0,2.84,77.8,0,16.9,4.4,2.3,3,0,1,1,1,0,0,1,0,0,0,0,0,0
17.5,25000.0,3.36,86.4,1,20.2,3.1,2.88,0,0,1,1,1,1,0,1,0,0,1,0,0,0
20.0,45815.0,4.63,81.5,2,53.4,4.4,3.35,0,0,0,1,0,1,0,0,0,0,0,0,0,0
23.4,25000.0,4.33,75.5,2,47.8,5.2,2.13,2,1,1,1,0,1,0,1,0,0,0,1,0,0
21.1,25000.0,5.28,80.7,1,16.9,3.1,4.0,3,0,0,1,0,1,1,0,0,0,0,0,0,0
18.6,64566.0,4.65,79.4,1,49.9,7.9,3.76,3,0,0,1,0,1,0,0,0,1,0,0,0,0
19.4,25999.0,5.08,74.6,0,21.5,2.7,4.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
22.5,25000.0,8.47,93.7,1,38.0,4.5,3.63,3,0,1,1,1,1,0,1,0,0,0,1,0,0
19.4,25000.0,1.93,80.5,2,21.5,3.8,2.63,0,0,1,1,1,0,0,0,0,0,1,0,0,0
